PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
1351211 root      20   0   34.0g  31.4g  31.4g S  1129   6.3 758:21.22 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 759:23.26 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 760:26.88 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 761:28.88 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1219   6.3 762:32.85 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1219   6.3 763:35.13 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 764:37.30 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 765:41.29 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 766:43.50 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 767:47.46 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 768:49.79 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 769:52.24 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1165   6.3 770:56.35 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1231   6.3 771:58.95 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1350   6.3 773:03.26 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 774:05.94 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 775:08.50 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1159   6.3 776:12.49 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1225   6.3 777:14.85 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  2125   6.3 778:18.69 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 779:21.21 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1171   6.3 780:23.85 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1159   6.3 781:28.11 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1219   6.3 782:30.69 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1171   6.3 783:34.88 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1281   6.3 784:37.82 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 785:40.53 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1147   6.3 786:44.62 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1159   6.3 787:46.63 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1141   6.3 788:50.43 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1153   6.3 789:53.16 ego-host
1351211 root      20   0   34.0g  31.4g  31.4g S  1176   6.3 790:55.48 ego-host
